Year,Month,Day,UTC Hour,temp,dwpt,rhum,prcp,wspd,pres,PM2.5
2019,01,01,00,0.3911980892879969,0.5823356917527044,0.7943466556146146,0.0,0.5878594958174387,0.8249891670590453,0.6844416271262486
2019,01,01,01,0.3911980892879969,0.5823356917527044,0.7943466556146146,0.0,0.5878594958174387,0.8249891670590453,0.6754159801020628
2019,01,01,02,0.38097488082322273,0.5613718579294168,0.7844381863032122,0.0,0.4305992976375694,0.8201189224615063,0.6189335255919178
2019,01,01,03,0.38097488082322273,0.5613718579294168,0.7844381863032122,0.0,0.4305992976375694,0.8201189224615063,0.5854050268897115
2019,01,01,04,0.38097488082322273,0.5613718579294168,0.7844381863032122,0.0,0.4305992976375694,0.8201189224615063,0.5854050268897115
2019,01,01,05,0.3285682351093309,0.46144184980283154,0.7434559295792875,0.0,0.7417960936614756,0.9028480643394222,0.486610974866824
2019,01,01,06,0.3285682351093309,0.46144184980283154,0.7434559295792875,0.0,0.7417960936614756,0.9028480643394222,0.4410365745840184
2019,01,01,07,0.3285682351093309,0.46144184980283154,0.7434559295792875,0.0,0.7417960936614756,0.9028480643394222,0.45603954923939727
2019,01,01,08,0.43619704095278344,0.38907185620343543,0.5925189608811519,0.0,0.7417960936614756,0.9465900036304719,0.42330185890324906
2019,01,01,09,0.43619704095278344,0.38907185620343543,0.5925189608811519,0.0,0.7417960936614756,0.9465900036304719,0.4023115532817602
2019,01,01,10,0.43619704095278344,0.38907185620343543,0.5925189608811519,0.0,0.7417960936614756,0.9465900036304719,0.4062541346276452
2019,01,01,11,0.5842465477529709,0.46725197968492826,0.5112282314117438,0.0,0.7417960936614756,0.7811397272888029,0.3398699193667883
2019,01,01,12,0.5842465477529709,0.46725197968492826,0.5112282314117438,0.0,0.7417960936614756,0.7811397272888029,0.3448539926341942
2019,01,01,13,0.5842465477529709,0.46725197968492826,0.5112282314117438,0.0,0.7417960936614756,0.7811397272888029,0.5100755664261745
2019,01,01,14,0.6271389621971987,0.5181360038270287,0.5112282314117438,0.0,0.6648277947394572,0.6982070094955836,0.5279474662421454
2019,01,01,15,0.6271389621971987,0.5181360038270287,0.5112282314117438,0.0,0.6648277947394572,0.6982070094955836,0.608223353968771
2019,01,01,16,0.6271389621971987,0.5181360038270287,0.5112282314117438,0.0,0.6648277947394572,0.6982070094955836,0.627538457371197
2019,01,01,17,0.5077785850138944,0.5719064486771347,0.6775024275144123,0.0,0.5878594958174387,0.786013803519068,0.6375074912781092
2019,01,01,18,0.5077785850138944,0.5719064486771347,0.6775024275144123,0.0,0.5878594958174387,0.786013803519068,0.7091829154502712
2019,01,01,19,0.5077785850138944,0.5719064486771347,0.6775024275144123,0.0,0.5878594958174387,0.786013803519068,0.7413289230766386
2019,01,01,20,0.3860969169299473,0.5181360038270287,0.7434559295792875,0.0,0.5878594958174387,0.8201189224615063,0.7843955220979704
2019,01,01,21,0.3860969169299473,0.5181360038270287,0.7434559295792875,0.0,0.5878594958174387,0.8201189224615063,0.7853289083921128
2019,01,01,22,0.3860969169299473,0.5181360038270287,0.7434559295792875,0.0,0.5878594958174387,0.8201189224615063,0.7515831480847105
2019,01,01,23,0.33390869557910047,0.550729769501653,0.8137832874542273,0.0,0.4305992976375694,0.8006331568841785,0.6739996332963939
2019,01,02,00,0.33390869557910047,0.550729769501653,0.8137832874542273,0.0,0.4305992976375694,0.8006331568841785,0.655623098223713
2019,01,02,01,0.33390869557910047,0.550729769501653,0.8137832874542273,0.0,0.4305992976375694,0.8006331568841785,0.6471139334377736
2019,01,02,02,0.3232049032187478,0.5070410522048231,0.7844381863032122,0.0,0.6648277947394572,0.7323725836243443,0.6823859899317213
2019,01,02,03,0.3232049032187478,0.5070410522048231,0.7844381863032122,0.0,0.6648277947394572,0.7323725836243443,0.6810066236307246
2019,01,02,04,0.3232049032187478,0.5070410522048231,0.7844381863032122,0.0,0.6648277947394572,0.7323725836243443,0.6375074912781092
2019,01,02,05,0.28500432677108467,0.4555991700037069,0.7743984751754209,0.0,0.7417960936614756,0.8542005887931273,0.5814027071941867
2019,01,02,06,0.28500432677108467,0.4555991700037069,0.7743984751754209,0.0,0.7417960936614756,0.8542005887931273,0.5803925795907628
2019,01,02,07,0.28500432677108467,0.4555991700037069,0.7743984751754209,0.0,0.7417960936614756,0.8542005887931273,0.5721694082614183
2019,01,02,08,0.48436975238687013,0.46144184980283154,0.6052585398986884,0.0,0.7877740089073891,0.8979854649627327,0.3684543263427246
2019,01,02,09,0.48436975238687013,0.46144184980283154,0.6052585398986884,0.0,0.7877740089073891,0.8979854649627327,0.3795081586793937
2019,01,02,10,0.48436975238687013,0.46144184980283154,0.6052585398986884,0.0,0.7877740089073891,0.8979854649627327,0.3521580906149323
2019,01,02,11,0.5754889170825415,0.4901741247347253,0.5393050378338131,0.0,0.7877740089073891,0.7665146219525184,0.3398699193667883
2019,01,02,12,0.5754889170825415,0.4901741247347253,0.5393050378338131,0.0,0.7877740089073891,0.7665146219525184,0.43408490900565344
2019,01,02,13,0.5754889170825415,0.4901741247347253,0.5393050378338131,0.0,0.7877740089073891,0.7665146219525184,0.43758360977570804
2019,01,02,14,0.6438928720336892,0.5181360038270287,0.4967899451807196,0.0,0.7417960936614756,0.7030892479970362,0.49791315002277353
2019,01,02,15,0.6438928720336892,0.5181360038270287,0.4967899451807196,0.0,0.7417960936614756,0.7030892479970362,0.503387916908163
2019,01,02,16,0.6438928720336892,0.5181360038270287,0.4967899451807196,0.0,0.7417960936614756,0.7030892479970362,0.7295120241147758
2019,01,02,17,0.4748823124481675,0.6329726087697386,0.7642239988043802,0.0,0.5878594958174387,0.7957605182225167,0.7003350245259871
2019,01,02,18,0.4748823124481675,0.6329726087697386,0.7642239988043802,0.0,0.5878594958174387,0.7957605182225167,0.7047960143252856
2019,01,02,19,0.4748823124481675,0.6329726087697386,0.7642239988043802,0.0,0.5878594958174387,0.7957605182225167,0.7825187962894931
2019,01,02,20,0.40133851782860164,0.5236395290864664,0.7328545384638382,0.0,0.5878594958174387,0.8639339046350069,0.7675035914254633
2019,01,02,21,0.40133851782860164,0.5236395290864664,0.7328545384638382,0.0,0.5878594958174387,0.8639339046350069,0.7675035914254633
2019,01,02,22,0.40133851782860164,0.5236395290864664,0.7328545384638382,0.0,0.5878594958174387,0.8639339046350069,0.7675035914254633
2019,01,02,23,0.3069756987866708,0.5666524546107679,0.8512223592552329,0.0,0.5878594958174387,0.8152481992393271,0.7665049208733477
2019,01,03,00,0.3069756987866708,0.5666524546107679,0.8512223592552329,0.0,0.5878594958174387,0.8152481992393271,0.6525604778703991
2019,01,03,01,0.3069756987866708,0.5666524546107679,0.8512223592552329,0.0,0.5878594958174387,0.8152481992393271,0.6439504459695503
2019,01,03,02,0.3445217767442703,0.4901741247347253,0.7539110899411895,0.0,0.5878594958174387,0.7616386276441761,0.6439504459695503
2019,01,03,03,0.3445217767442703,0.4901741247347253,0.7539110899411895,0.0,0.5878594958174387,0.7616386276441761,0.6905142634528266
2019,01,03,04,0.3445217767442703,0.4901741247347253,0.7539110899411895,0.0,0.5878594958174387,0.7616386276441761,0.732373894431805
2019,01,03,05,0.31781850316304,0.46144184980283154,0.7539110899411895,0.0,0.7417960936614756,0.8590674856505457,0.6494619315325321
2019,01,03,06,0.31781850316304,0.46144184980283154,0.7539110899411895,0.0,0.7417960936614756,0.8590674856505457,0.6317380378214219
2019,01,03,07,0.31781850316304,0.46144184980283154,0.7539110899411895,0.0,0.7417960936614756,0.8590674856505457,0.6258397502538809
2019,01,03,08,0.47011150255527373,0.46144184980283154,0.6177875376928511,0.0,0.7877740089073891,0.9028480643394222,0.5153063917399155
2019,01,03,09,0.47011150255527373,0.46144184980283154,0.6177875376928511,0.0,0.7877740089073891,0.9028480643394222,0.4951326185967313
2019,01,03,10,0.47011150255527373,0.46144184980283154,0.6177875376928511,0.0,0.7877740089073891,0.9028480643394222,0.503387916908163
2019,01,03,11,0.6271389621971987,0.42588446436224775,0.4361186046219558,0.0,0.7417960936614756,0.8006331568841785,0.5060833285247539
2019,01,03,12,0.6271389621971987,0.42588446436224775,0.4361186046219558,0.0,0.7417960936614756,0.8006331568841785,0.4965265429206252
2019,01,03,13,0.6271389621971987,0.42588446436224775,0.4361186046219558,0.0,0.7417960936614756,0.8006331568841785,0.5711232760172525
2019,01,03,14,0.5754889170825415,0.4901741247347253,0.5393050378338131,0.0,0.5878594958174387,0.7323725836243443,0.6431536186793484
2019,01,03,15,0.5754889170825415,0.4901741247347253,0.5393050378338131,0.0,0.5878594958174387,0.7323725836243443,0.664603500101974
2019,01,03,16,0.5754889170825415,0.4901741247347253,0.5393050378338131,0.0,0.5878594958174387,0.7323725836243443,0.7153261701562013
2019,01,03,17,0.4937858575160266,0.5453677236721904,0.6659298804574518,0.0,0.5878594958174387,0.7713901365998685,0.8080797560873865
2019,01,03,18,0.4937858575160266,0.5453677236721904,0.6659298804574518,0.0,0.5878594958174387,0.7713901365998685,0.809783942943034
2019,01,03,19,0.4937858575160266,0.5453677236721904,0.6659298804574518,0.0,0.5878594958174387,0.7713901365998685,0.8592147893664732
2019,01,03,20,0.46051501052161486,0.5719064486771347,0.7221027679988911,0.0,0.5878594958174387,0.786013803519068,0.9160360400492623
2019,01,03,21,0.46051501052161486,0.5719064486771347,0.7221027679988911,0.0,0.5878594958174387,0.786013803519068,0.8371897002600905
2019,01,03,22,0.46051501052161486,0.5719064486771347,0.7221027679988911,0.0,0.5878594958174387,0.786013803519068,0.8491644666309786
2019,01,03,23,0.43619704095278344,0.5823356917527044,0.7539110899411895,0.0,0.5878594958174387,0.7567621535803748,0.8495300695217218
2019,01,04,00,0.43619704095278344,0.5823356917527044,0.7539110899411895,0.0,0.5878594958174387,0.7567621535803748,0.7825187962894931
2019,01,04,01,0.43619704095278344,0.5823356917527044,0.7539110899411895,0.0,0.5878594958174387,0.7567621535803748,0.8238420858732535
2019,01,04,02,0.421376322626513,0.5453677236721904,0.7328545384638382,0.0,0.6648277947394572,0.6982070094955836,0.7792020956298806
2019,01,04,03,0.421376322626513,0.5453677236721904,0.7328545384638382,0.0,0.6648277947394572,0.6982070094955836,0.752111973179043
2019,01,04,04,0.421376322626513,0.5453677236721904,0.7328545384638382,0.0,0.6648277947394572,0.6982070094955836,0.7536921257260519
2019,01,04,05,0.41139749626463934,0.5070410522048231,0.7111962905003092,0.0,0.6648277947394572,0.7616386276441761,0.7494571965977438
2019,01,04,06,0.41139749626463934,0.5070410522048231,0.7111962905003092,0.0,0.6648277947394572,0.7616386276441761,0.7363291262432652
2019,01,04,07,0.41139749626463934,0.5070410522048231,0.7111962905003092,0.0,0.6648277947394572,0.7616386276441761,0.6803142299278752
2019,01,04,08,0.4937858575160266,0.5453677236721904,0.6659298804574518,0.0,0.7417960936614756,0.8590674856505457,0.6754159801020628
2019,01,04,09,0.4937858575160266,0.5453677236721904,0.6659298804574518,0.0,0.7417960936614756,0.8590674856505457,0.6109418827294186
2019,01,04,11,0.5754889170825415,0.5771341068230839,0.6177875376928511,0.0,0.7877740089073891,0.747007765808779,0.6189335255919178
2019,01,04,12,0.5754889170825415,0.5771341068230839,0.6177875376928511,0.0,0.7877740089073891,0.747007765808779,0.5932322083385568
