Year,Month,Day,UTC Hour,temp,dwpt,rhum,prcp,wspd,pres,PM2.5
2019,01,01,00,0.4462221588063053,0.6565040197950245,0.7608001944731982,0.0,0.595634691962031,0.9279178605049663,0.46690784661958407
2019,01,01,01,0.42732509000542085,0.6857967195426603,0.8087193714471702,0.0,0.595634691962031,0.9170933746587953,0.4645275677651578
2019,01,01,02,0.3249189482727856,0.6565040197950245,0.8597518420529835,0.0,0.4362945258726773,0.8918238756271969,0.3755025371619253
2019,01,01,03,0.3249189482727856,0.6857967195426603,0.8934727153041531,0.0,0.4857191706901231,0.8918238756271969,0.39748505860664934
2019,01,01,04,0.36342346880218757,0.6697656326434897,0.8456541279840228,0.0,0.595634691962031,0.8665370458252328,0.3882703301535486
2019,01,01,05,0.2796690731570708,0.6565040197950245,0.8934727153041531,0.0,0.4857191706901231,0.8918238756271969,0.37874838810852784
2019,01,01,06,0.2796690731570708,0.6565040197950245,0.8934727153041531,0.0,0.595634691962031,0.8918238756271969,0.36042169587736517
2019,01,01,07,0.3249189482727856,0.6697656326434897,0.8734926133430474,0.0,0.4857191706901231,0.9459516112230575,0.3295616117495983
2019,01,01,08,0.3675816653434407,0.6531248544859024,0.8237962152706898,0.0,0.6736209953992307,0.9279178605049663,0.3178216657479116
2019,01,01,09,0.5173611383856033,0.6531248544859024,0.6895200122555051,0.0,0.6241963505817849,0.9639765456363849,0.2724565976143853
2019,01,01,10,0.5173611383856033,0.6631850615234642,0.6989590584433787,0.0,0.6241963505817849,0.9531626424621829,0.25805194163568024
2019,01,01,11,0.6127752444555398,0.6565040197950245,0.5962514687057157,0.0,0.7835365166711385,0.9279178605049663,0.24027355832038041
2019,01,01,12,0.6702185306294277,0.6598572908627103,0.5365505205122433,0.0,0.7154089371698259,0.8556945218217709,0.3034858781986063
2019,01,01,13,0.6702185306294277,0.695140841110287,0.5731530263648599,0.0,0.595634691962031,0.7978138151025277,0.3819577680480195
2019,01,01,14,0.7235550975094844,0.6920482506202,0.5107012791972211,0.0,0.7516072988364304,0.7833294296842175,0.45970666329026816
2019,01,01,15,0.7235550975094844,0.6920482506202,0.5107012791972211,0.0,0.6736209953992307,0.7470935519684072,0.5107688205791657
2019,01,01,16,0.697363134714013,0.701261216864493,0.5490276556651112,0.0,0.6241963505817849,0.7289622496073662,0.496171318197243
2019,01,01,17,0.697363134714013,0.6889336486247123,0.5365505205122433,0.0,0.7154089371698259,0.7833294296842175,0.6094779215779726
2019,01,01,18,0.6420493631050375,0.6857967195426603,0.5962514687057157,0.0,0.6241963505817849,0.7833294296842175,0.6094779215779726
2019,01,01,19,0.6067800768929327,0.7249210184579116,0.6799138946561997,0.0,0.6736209953992307,0.8086733711993348,0.6087575383220917
